Shows Name,Rating,Genres,Genre 1,Genre_1,Genre 2,Genre 3,Durations,Duration (mins),Votes,Cast_1,Cast_2,Cast_3,Cast_4
Breaking Bad,9.5,"Crime, Drama, Thriller",Crime," Drama, Thriller", Drama, Thriller,49 min,49,1479889,Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt
Game of Thrones,9.3,"Action, Adventure, Drama",Action," Adventure, Drama", Adventure, Drama,57 min,57,1783163,Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey
The Wire,9.3,"Crime, Drama, Thriller",Crime," Drama, Thriller", Drama, Thriller,59 min,59,287866,Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce
Rick and Morty,9.2,"Animation, Adventure, Comedy",Animation," Adventure, Comedy", Adventure, Comedy,23 min,23,380154,Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure",Animation," Action, Adventure", Action, Adventure,23 min,23,251190,Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena
The Sopranos,9.2,"Crime, Drama",Crime, Drama, Drama,,55 min,55,305714,James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli
Sherlock,9.1,"Crime, Drama, Mystery",Crime," Drama, Mystery", Drama, Mystery,88 min,88,812987,Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves
Fullmetal Alchemist: Brotherhood,9.1,"Animation, Action, Adventure",Animation," Action, Adventure", Action, Adventure,24 min,24,123891,Kent Williams,Iemasa Kayumi,Vic Mignogna,Muriel Hofmann
True Detective,9,"Crime, Drama, Mystery",Crime," Drama, Mystery", Drama, Mystery,55 min,55,502532,Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch
Death Note,9,"Animation, Crime, Drama",Animation," Crime, Drama", Crime, Drama,24 min,24,242800,Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô
Firefly,9,"Adventure, Drama, Sci-Fi",Adventure," Drama, Sci-Fi", Drama, Sci-Fi,44 min,44,244871,Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin
Fargo,8.9,"Crime, Drama, Thriller",Crime," Drama, Thriller", Drama, Thriller,53 min,53,330288,Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks
Attack on Titan,8.9,"Animation, Action, Adventure",Animation," Action, Adventure", Action, Adventure,24 min,24,210053,Yûki Kaji,Marina Inoue,Yui Ishikawa,Josh Grelle
The Office,8.9,Comedy,Comedy,,,,22 min,22,421028,Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson
Friends,8.9,"Comedy, Romance",Comedy, Romance, Romance,,22 min,22,835169,Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc
The Mandalorian,8.8,"Action, Adventure, Sci-Fi",Action," Adventure, Sci-Fi", Adventure, Sci-Fi,40 min,40,300728,Pedro Pascal,Gina Carano,Giancarlo Esposito,Chris Bartlett
Dark,8.8,"Crime, Drama, Mystery",Crime," Drama, Mystery", Drama, Mystery,60 min,60,289334,Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne
One Punch Man,8.8,"Animation, Action, Comedy",Animation," Action, Comedy", Action, Comedy,24 min,24,118373,Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar
