Names,Years,Starting Year,Ending Year,Duration,Complet/On-Going
Breaking Bad,2008 - 2013,2008,2013,5,Complete
Game of Thrones,2011 - 2019,2011,2019,8,Complete
The Wire,2002 - 2008,2002,2008,6,Complete
Rick and Morty,2013 -  ,2013,,,On-Going
Avatar: The Last Airbender,2005 - 2008,2005,2008,3,Complete
The Sopranos,1999 - 2007,1999,2007,8,Complete
Sherlock,2010 - 2017,2010,2017,7,Complete
Fullmetal Alchemist: Brotherhood,2009 - 2012,2009,2012,3,Complete
Death Note,2006 - 2007,2006,2007,1,Complete
Firefly,2002 - 2003,2002,2003,1,Complete
Fargo,2014 -  ,2014,,,On-Going
Attack on Titan,2013 -  ,2013,,,On-Going
True Detective,2014 - 2019,2014,2019,5,Complete
The Office,2005 - 2013,2005,2013,8,Complete
Friends,1994 - 2004,1994,2004,10,Complete
The Mandalorian,2019 -  ,2019,,,On-Going
Dark,2017 - 2020,2017,2020,3,Complete
One Punch Man,2015 -  ,2015,,,On-Going
Narcos,2015 - 2017,2015,2017,2,Complete
Peaky Blinders,2013 -  ,2013,,,On-Going
Black Mirror,2011 -  ,2011,,,On-Going
It's Always Sunny in Philadelphia,2005 -  ,2005,,,On-Going
Freaks and Geeks,1999 - 2000,1999,2000,1,Complete
Twin Peaks,1990 - 1991,1990,1991,1,Complete
Seinfeld,1989 - 1998,1989,1998,9,Complete
Fleabag,2016 - 2019,2016,2019,3,Complete
This Is Us,2016 -  ,2016,,,On-Going
The Crown,2016 -  ,2016,,,On-Going
Stranger Things,2016 -  ,2016,,,On-Going
BoJack Horseman,2014 - 2020,2014,2020,6,Complete
Better Call Saul,2015 - 2021,2015,2021,6,Complete
House of Cards,2013 - 2018,2013,2018,5,Complete
Top Gear,2002 -  ,2002,,,On-Going
Downton Abbey,2010 - 2015,2010,2015,5,Complete
The Boys,2019 -  ,2019,,,On-Going
House,2004 - 2012,2004,2012,8,Complete
Battlestar Galactica,2004 - 2009,2004,2009,5,Complete
Rome,2005 - 2007,2005,2007,2,Complete
Arrested Development,2003 - 2019,2003,2019,16,Complete
Curb Your Enthusiasm,2000 -  ,2000,,,On-Going
Six Feet Under,2001 - 2005,2001,2005,4,Complete
Dragon Ball Z,1996 - 2003,1996,2003,7,Complete
South Park,1997 -  ,1997,,,On-Going
Cobra Kai,2018 -  ,2018,,,On-Going
Mindhunter,2017 - 2019,2017,2019,2,Complete
Mr. Robot,2015 - 2019,2015,2019,4,Complete
Daredevil,2015 - 2018,2015,2018,3,Complete
The Newsroom,2012 - 2014,2012,2014,2,Complete
Shameless,2011 - 2021,2011,2021,10,Complete
Archer,2009 -  ,2009,,,On-Going
