game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
1,1985-04-19,EC1,1,CHI,MIL,L (-9),44,7,19,0.368,0,1,0,9,10,0.9,1,3,4,10,3,0,1,23,21.5,
2,1985-04-21,EC1,2,CHI,MIL,L (-7),43,9,17,0.529,1,4,0.25,11,12,0.917,1,3,4,12,2,0,7,30,24.3,
3,1985-04-24,EC1,3,CHI,MIL,W (+2),42,12,26,0.462,0,1,0,11,16,0.688,3,5,8,7,4,1,3,35,28.2,
4,1985-04-26,EC1,4,CHI,MIL,L (-8),42,6,16,0.375,0,2,0,17,20,0.85,2,5,7,5,2,3,4,29,24.3,
1,1986-04-17,EC1,1,CHI,BOS,L (-19),43,18,36,0.5,0,0,,13,15,0.867,0,4,4,2,2,1,5,49,29.3,
2,1986-04-20,EC1,2,CHI,BOS,L (-4),53,22,41,0.537,0,0,,19,21,0.905,1,4,5,6,3,2,4,63,47.2,
3,1986-04-22,EC1,3,CHI,BOS,L (-18),39,8,18,0.444,1,1,1,2,3,0.667,4,6,10,9,2,1,5,19,15.4,
1,1987-04-23,EC1,1,CHI,BOS,L (-4),44,12,25,0.48,0,1,0,11,11,1,0,6,6,7,4,2,2,35,30.8,
2,1987-04-26,EC1,2,CHI,BOS,L (-9),45,14,29,0.483,2,3,0.667,12,14,0.857,1,3,4,4,0,4,4,42,28.5,
3,1987-04-28,EC1,3,CHI,BOS,L (-11),39,9,30,0.3,0,1,0,12,14,0.857,6,5,11,7,2,1,2,30,21.5,
1,1988-04-28,EC1,1,CHI,CLE,W (+11),44,19,35,0.543,0,0,,12,12,1,1,6,7,2,2,2,5,50,34.2,
2,1988-05-01,EC1,2,CHI,CLE,W (+5),44,24,45,0.533,0,0,,7,7,1,3,3,6,3,4,1,1,55,40.3,
3,1988-05-03,EC1,3,CHI,CLE,L (-8),44,12,25,0.48,0,0,,14,15,0.933,2,3,5,9,2,1,4,38,30.2,
4,1988-05-05,EC1,4,CHI,CLE,L (-6),42,18,25,0.72,0,0,,8,9,0.889,2,3,5,4,4,2,4,44,37.4,
5,1988-05-08,EC1,5,CHI,CLE,W (+6),43,12,22,0.545,0,0,,15,18,0.833,1,3,4,6,2,2,7,39,27.8,
6,1988-05-10,ECS,1,CHI,DET,L (-11),40,10,22,0.455,0,1,0,9,10,0.9,5,6,11,6,0,1,5,29,20.8,
7,1988-05-12,ECS,2,CHI,DET,W (+10),44,14,22,0.636,0,0,,8,10,0.8,4,7,11,1,1,1,2,36,28.7,
8,1988-05-14,ECS,3,CHI,DET,L (-22),38,8,20,0.4,0,0,,8,9,0.889,1,6,7,3,1,1,5,24,12.9,
9,1988-05-15,ECS,4,CHI,DET,L (-19),45,11,22,0.5,0,0,,1,2,0.5,2,5,7,5,6,0,3,23,21,
10,1988-05-18,ECS,5,CHI,DET,L (-7),43,10,22,0.455,1,2,0.5,4,7,0.571,2,6,8,8,2,0,3,25,18.6,
1,1989-04-28,EC1,1,CHI,CLE,W (+7),40,12,21,0.571,0,1,0,7,8,0.875,0,5,5,11,4,1,6,31,26.6,
2,1989-04-30,EC1,2,CHI,CLE,L (-8),44,10,22,0.455,0,1,0,10,10,1,3,2,5,10,2,0,7,30,22.5,
3,1989-05-03,EC1,3,CHI,CLE,W (+7),39,18,34,0.529,1,1,1,7,9,0.778,2,5,7,10,5,1,5,44,35.6,
4,1989-05-05,EC1,4,CHI,CLE,L (-3),43,14,28,0.5,0,1,0,22,27,0.815,0,3,3,4,3,0,1,50,37.3,
5,1989-05-07,EC1,5,CHI,CLE,W (+1),44,17,32,0.531,1,1,1,9,13,0.692,3,6,9,6,1,0,2,44,32.7,
6,1989-05-09,ECS,1,CHI,NYK,W (+11),46,11,17,0.647,1,2,0.5,11,11,1,2,8,10,12,2,0,6,34,32.7,
7,1989-05-11,ECS,2,CHI,NYK,L (-17),34,7,17,0.412,0,2,0,1,4,0.25,2,6,8,3,1,0,1,15,8.4,
8,1989-05-13,ECS,3,CHI,NYK,W (+23),39,14,25,0.56,1,2,0.5,11,13,0.846,2,13,15,9,6,1,3,40,41.4,
9,1989-05-14,ECS,4,CHI,NYK,W (+13),42,12,18,0.667,0,1,0,23,28,0.821,0,11,11,6,1,2,6,47,39.9,
10,1989-05-16,ECS,5,CHI,NYK,L (-7),43,13,30,0.433,1,3,0.333,11,15,0.733,5,3,8,10,5,1,3,38,33.9,
11,1989-05-19,ECS,6,CHI,NYK,W (+2),45,14,22,0.636,1,3,0.333,11,12,0.917,1,4,5,10,0,4,6,40,34.3,
12,1989-05-21,ECF,1,CHI,DET,W (+6),45,10,29,0.345,2,6,0.333,10,13,0.769,2,9,11,4,0,0,3,32,16.4,
13,1989-05-23,ECF,2,CHI,DET,L (-9),38,9,20,0.45,0,2,0,9,11,0.818,1,3,4,4,2,1,4,27,16.9,
14,1989-05-27,ECF,3,CHI,DET,W (+2),45,16,26,0.615,0,3,0,14,15,0.933,3,4,7,5,5,0,2,46,42.8,
15,1989-05-29,ECF,4,CHI,DET,L (-6),43,5,15,0.333,1,3,0.333,12,17,0.706,0,2,2,4,1,0,1,23,13.9,
16,1989-05-31,ECF,5,CHI,DET,L (-9),46,4,8,0.5,0,1,0,10,11,0.909,0,5,5,9,1,0,4,18,17.2,
17,1989-06-02,ECF,6,CHI,DET,L (-9),42,13,26,0.5,1,2,0.5,5,12,0.417,0,4,4,13,3,2,8,32,20.9,
1,1990-04-27,EC1,1,CHI,MIL,W (+14),44,15,27,0.556,0,1,0,8,11,0.727,1,7,8,7,2,1,7,38,25.7,
2,1990-04-29,EC1,2,CHI,MIL,W (+7),44,12,21,0.571,0,0,,12,14,0.857,1,8,9,11,5,1,5,36,34.8,
3,1990-05-01,EC1,3,CHI,MIL,L (-7),46,20,35,0.571,1,5,0.2,7,9,0.778,2,7,9,5,1,2,5,48,33.5,
4,1990-05-03,EC1,4,CHI,MIL,W (+24),32,8,19,0.421,0,0,,9,13,0.692,1,5,6,5,2,0,1,25,18.8,
5,1990-05-07,ECS,1,CHI,PHI,W (+11),43,16,30,0.533,2,4,0.5,5,6,0.833,1,4,5,6,5,2,4,39,31.3,
6,1990-05-09,ECS,2,CHI,PHI,W (+5),43,18,36,0.5,1,3,0.333,8,8,1,4,4,8,7,3,0,2,45,35.7,
7,1990-05-11,ECS,3,CHI,PHI,L (-6),42,19,34,0.559,4,11,0.364,7,9,0.778,2,3,5,5,4,1,5,49,35.9,
8,1990-05-13,ECS,4,CHI,PHI,W (+10),42,16,31,0.516,1,2,0.5,12,13,0.923,1,5,6,11,2,2,3,45,38.4,
9,1990-05-16,ECS,5,CHI,PHI,W (+18),42,17,26,0.654,1,3,0.333,2,4,0.5,2,7,9,8,6,1,4,37,35.8,
10,1990-05-20,ECF,1,CHI,DET,L (-9),42,12,27,0.444,2,6,0.333,8,8,1,1,6,7,5,3,0,1,34,26.7,
11,1990-05-22,ECF,2,CHI,DET,L (-9),45,5,16,0.313,0,2,0,10,12,0.833,1,6,7,7,4,1,3,20,17.1,
12,1990-05-26,ECF,3,CHI,DET,W (+5),43,17,32,0.531,2,2,1,11,13,0.846,3,7,10,4,1,0,4,47,33.4,
13,1990-05-28,ECF,4,CHI,DET,W (+7),43,13,26,0.5,0,1,0,16,19,0.842,0,4,4,9,4,3,4,42,35.4,
14,1990-05-30,ECF,5,CHI,DET,L (-14),39,7,19,0.368,1,4,0.25,7,9,0.778,1,3,4,8,1,0,1,22,17.5,
15,1990-06-01,ECF,6,CHI,DET,W (+18),39,11,20,0.55,1,4,0.25,6,6,1,1,9,10,2,1,0,3,29,20.6,
16,1990-06-03,ECF,7,CHI,DET,L (-19),45,13,27,0.481,0,2,0,5,5,1,2,6,8,9,1,0,4,31,23,
1,1991-04-25,EC1,1,CHI,NYK,W (+41),32,8,15,0.533,3,4,0.75,9,9,1,1,5,6,6,2,0,1,28,27.3,
2,1991-04-28,EC1,2,CHI,NYK,W (+10),42,9,16,0.563,0,0,,8,9,0.889,1,4,5,5,0,1,2,26,21.3,
3,1991-04-30,EC1,3,CHI,NYK,W (+9),39,14,28,0.5,0,2,0,5,5,1,1,2,3,7,6,1,1,33,29.7,
4,1991-05-04,ECS,1,CHI,PHI,W (+13),31,8,15,0.533,0,1,0,13,15,0.867,0,5,5,5,3,1,1,29,27.8,
5,1991-05-06,ECS,2,CHI,PHI,W (+12),40,12,26,0.462,0,5,0,5,7,0.714,1,7,8,9,1,1,1,29,23,
6,1991-05-10,ECS,3,CHI,PHI,L (-2),42,20,34,0.588,0,0,,6,9,0.667,0,4,4,6,1,4,2,46,35,
7,1991-05-12,ECS,4,CHI,PHI,W (+16),41,11,27,0.407,2,3,0.667,1,2,0.5,0,4,4,12,4,0,1,25,21.1,
8,1991-05-14,ECS,5,CHI,PHI,W (+5),42,14,31,0.452,0,2,0,10,11,0.909,4,15,19,7,0,1,4,38,29.2,
9,1991-05-19,ECF,1,CHI,DET,W (+11),38,6,15,0.4,0,1,0,10,13,0.769,0,3,3,6,3,0,6,22,13.2,
10,1991-05-21,ECF,2,CHI,DET,W (+8),39,10,20,0.5,2,2,1,13,14,0.929,2,1,3,7,2,0,3,35,29.4,
11,1991-05-25,ECF,3,CHI,DET,W (+6),46,11,19,0.579,0,0,,11,12,0.917,0,7,7,7,3,5,1,33,34.6,
12,1991-05-27,ECF,4,CHI,DET,W (+21),37,11,17,0.647,1,2,0.5,6,9,0.667,0,8,8,8,1,2,2,29,27.9,
13,1991-06-02,FIN,1,CHI,LAL,L (-2),40,14,24,0.583,1,1,1,7,9,0.778,2,6,8,12,3,0,4,36,32.6,
14,1991-06-05,FIN,2,CHI,LAL,W (+21),36,15,18,0.833,0,1,0,3,4,0.75,1,6,7,13,2,1,4,33,34.7,
15,1991-06-07,FIN,3,CHI,LAL,W (+8),52,11,28,0.393,1,1,1,6,6,1,4,5,9,9,4,2,3,29,24.8,
16,1991-06-09,FIN,4,CHI,LAL,W (+15),44,11,20,0.55,0,1,0,6,6,1,1,4,5,13,0,2,1,28,28.6,
17,1991-06-12,FIN,5,CHI,LAL,W (+7),48,12,23,0.522,0,0,,6,8,0.75,0,4,4,10,5,2,6,30,26.1,
1,1992-04-24,EC1,1,CHI,MIA,W (+19),41,21,34,0.618,0,0,,4,4,1,1,10,11,9,3,1,5,46,37.7,
2,1992-04-26,EC1,2,CHI,MIA,W (+30),35,12,23,0.522,0,0,,9,10,0.9,4,9,13,6,2,0,4,33,27.8,
3,1992-04-29,EC1,3,CHI,MIA,W (+5),43,20,30,0.667,0,0,,16,18,0.889,1,4,5,5,4,2,2,56,49.8,
4,1992-05-05,ECS,1,CHI,NYK,L (-5),44,12,23,0.522,0,0,,7,8,0.875,1,5,6,3,1,3,2,31,23.1,
5,1992-05-07,ECS,2,CHI,NYK,W (+8),43,12,24,0.5,0,0,,3,8,0.375,1,5,6,5,3,0,2,27,18.9,
6,1992-05-09,ECS,3,CHI,NYK,W (+8),44,12,24,0.5,1,3,0.333,7,10,0.7,1,8,9,3,3,1,6,32,20.9,
7,1992-05-10,ECS,4,CHI,NYK,L (-7),44,12,26,0.462,0,2,0,5,6,0.833,2,2,4,4,0,0,0,29,19.6,
8,1992-05-12,ECS,5,CHI,NYK,W (+8),40,11,23,0.478,0,0,,15,17,0.882,2,3,5,3,1,0,4,37,24.7,
9,1992-05-14,ECS,6,CHI,NYK,L (-14),45,9,25,0.36,1,5,0.2,2,4,0.5,0,4,4,8,0,1,7,21,6.8,
10,1992-05-17,ECS,7,CHI,NYK,W (+29),42,15,29,0.517,0,0,,12,13,0.923,3,3,6,4,2,3,5,42,31,
11,1992-05-19,ECF,1,CHI,CLE,W (+14),40,15,29,0.517,1,2,0.5,2,2,1,1,5,6,7,2,1,1,33,27.5,
